"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
478794,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","3050 Ugarteche",1527,4053.59,"Domingo"
495592,"Calle Perú, 718","ESMERALDA 516",796,1617.34,"Viernes"
228280,"Armenia 2315 & Charcas","Guatemala 4773",1644,386.93,"Miércoles"
30803,"Av. Guzman 1100 & Av. Corrientes","Guatemala 4773",952,2776.04,"Lunes"
93576,"1399 Moldes","Guatemala 4773",1645,3214.08,"Martes"
229284,"Av. Gaona 2200","1540 Garcia, Juan Agustin",701,1467.17,"Jueves"
492921,"Av. Gaona 2200","1540 Garcia, Juan Agustin",948,1467.17,"Jueves"
492921,"Miller & Monroe","1540 Garcia, Juan Agustin",1610,3758.69,"Viernes"
492921,"Avenida Rivadavia y Fray Cayetano","1540 Garcia, Juan Agustin",1601,3019.29,"Viernes"
492921,"Bruno Giordano&Neuquen","1540 Garcia, Juan Agustin",2347,2777.06,"Viernes"
492921,"1540 Garcia, Juan Agustin","1540 Garcia, Juan Agustin",2812,0,"Jueves"
427618,"1540 Garcia, Juan Agustin","1540 Garcia, Juan Agustin",4873,0,"Sábado"
498500,"1981 Vidal","1540 Garcia, Juan Agustin",1636,4116.81,"Martes"
492921,"Argerich & Flores, Venancio, Gral.","1540 Garcia, Juan Agustin",1373,3216.57,"Sábado"
167410,"Av. Gaona 2200","Calcena & Avellaneda Av.",1155,918.27,"Miércoles"
301804,"Guayaquil & Doblas","Calcena & Avellaneda Av.",757,2399.54,"Lunes"
301804,"Guayaquil & Doblas","Calcena & Avellaneda Av.",920,2399.54,"Viernes"
301804,"Guayaquil & Doblas","Calcena & Avellaneda Av.",1060,2399.54,"Miércoles"
301804,"Av. Rivadavia & Del Barco Centenera","Calcena & Avellaneda Av.",471,1468.02,"Miércoles"
43462,"Beruti & Ecuador","Reconquista & Corrientes Av.",1595,3004.06,"Viernes"
431678,"150 Dellepiane Y Pedro de Mendoza","Av. España 2200",1664,839.82,"Viernes"
222837,"Lavalle & Bouchard","Av. España 2200",1539,2239.32,"Martes"
495592,"Calle Perú, 718","902 Esmeralda",1553,2155.5,"Martes"
591099,"3084 Agrelo","Avenida Rivadavia y Fray Cayetano",2715,5108.69,"Domingo"
599549,"Av. Gaona 2200","Avenida Rivadavia y Fray Cayetano",1630,1762.77,"Lunes"
244527,"Lavalle & Acuña De Figueroa, Francisco","Avenida Rivadavia y Fray Cayetano",2503,5116.34,"Miércoles"
425918,"394 Rawson & Potosi","Avenida Rivadavia y Fray Cayetano",1913,4119.03,"Lunes"
